pentad,survey_id,species,datetime,mins_after_dawn
3255_2535,3255_2535_1,Southern Boubou,2017-02-21T10:46:53Z,346.8833333333333
3255_2535,3255_2535_1,Sombre Greenbul,2017-02-21T10:48:09Z,348.15
3255_2535,3255_2535_1,Grey Tit,2017-02-21T10:49:50Z,349.8333333333333
3255_2535,3255_2535_1,Cape White-eye,2017-02-21T10:50:51Z,350.85
3255_2535,3255_2535_1,Bar-throated Apalis,2017-02-21T10:51:58Z,351.96666666666664
3255_2535,3255_2535_1,Greater Striped-Swallow,2017-02-21T10:53:30Z,353.5
3255_2535,3255_2535_2,Chinspot Batis,2017-02-21T11:14:19Z,374.31666666666666
3255_2535,3255_2535_2,Black-collared Barbet,2017-02-21T11:15:18Z,375.3
3255_2535,3255_2535_2,Dark-capped Bulbul,2017-02-21T11:17:42Z,377.7
3255_2535,3255_2535_2,Cape White-eye,2017-02-21T11:19:22Z,379.3666666666667
3255_2535,3255_2535_2,Sombre Greenbul,2017-02-21T11:20:17Z,380.28333333333336
3255_2535,3255_2535_1,Spike-heeled Lark,2017-02-22T06:11:49Z,71.81666666666666
3255_2535,3255_2535_1,African Pipit,2017-02-22T06:13:04Z,73.06666666666666
3255_2535,3255_2535_1,Eastern Clapper Lark,2017-02-22T06:14:19Z,74.31666666666666
3255_2535,3255_2535_1,Rufous-naped Lark,2017-02-22T06:15:10Z,75.16666666666667
3255_2535,3255_2535_1,Neddicky,2017-02-22T06:17:10Z,77.16666666666667
3255_2535,3255_2535_1,Cape Turtle Dove,2017-02-22T06:18:55Z,78.91666666666667
3255_2535,3255_2535_1,Rufous-eared Warbler,2017-02-22T06:20:03Z,80.05
3255_2535,3255_2535_1,Chestnut-vented Tit-Babbler,2017-02-22T06:22:04Z,82.06666666666666
3255_2535,3255_2535_1,Pied Starling,2017-02-22T06:22:55Z,82.91666666666667
3255_2535,3255_2535_2,Blue Crane,2017-02-22T06:38:06Z,98.1
3255_2535,3255_2535_2,Rufous-naped Lark,2017-02-22T06:41:36Z,101.6
3255_2535,3255_2535_2,African Pipit,2017-02-22T06:42:46Z,102.76666666666667
3255_2535,3255_2535_2,Chinspot Batis,2017-02-22T06:43:43Z,103.71666666666667
3255_2535,3255_2535_2,Spike-heeled Lark,2017-02-22T06:44:53Z,104.88333333333334
3255_2535,3255_2535_3,African Pipit,2017-02-22T06:58:43Z,118.71666666666667
3255_2535,3255_2535_3,Rufous-eared Warbler,2017-02-22T07:00:14Z,120.23333333333333
3255_2535,3255_2535_3,Eastern Clapper Lark,2017-02-22T07:01:50Z,121.83333333333333
3255_2535,3255_2535_3,Pied Starling,2017-02-22T07:03:15Z,123.25
3255_2535,3255_2535_4,Chestnut-vented Tit-Babbler,2017-02-22T07:20:34Z,140.56666666666666
3255_2535,3255_2535_4,Brown-hooded Kingfisher,2017-02-22T07:21:32Z,141.53333333333333
