param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
Nocc.fs[1],41,41,0,41,41
Nocc.fs[2],12,12,0,12,12
Nocc.fs[3],36,36,0,36,36
Nocc.fs[4],18,18,0,18,18
Nocc.fs[5],29,29,0,29,29
Nocc.fs[6],11,11,0,11,11
Nocc.fs[7],14,14,0,14,14
Nocc.fs[8],46,46,0,46,46
Nocc.fs[9],43,43,0,43,43
Nocc.fs[10],22,22,0,22,22
Nocc.fs[11],47,47,0,47,47
Nocc.fs[12],48,48,0,48,48
Nocc.fs[13],25,25,0,25,25
Nocc.fs[14],14,14,0,14,14
Nocc.fs[15],16,16,0,16,16
Nocc.fs[16],44,44,0,44,44
Nocc.fs[17],34,34,0,34,34
Nocc.fs[18],10,10,0,10,10
Nocc.fs[19],26,26,0,26,26
Nocc.fs[20],20,20,0,20,20
Nocc.fs[21],26,26,0,26,26
Nocc.fs[22],46,46,0,46,46
Nocc.fs[23],26,26,0,26,26
Nocc.fs[24],12,12,0,12,12
Nocc.fs[25],41,41,0,41,41
Nocc.fs[26],4,4,0,4,4
Nocc.fs[27],22,22,0,22,22
Nocc.fs[28],17,17,0,17,17
Nocc.fs[29],31,31,0,31,31
Nocc.fs[30],28,28,0,28,28
Nocc.fs[31],13,13,0,13,13
Nocc.fs[32],29,29,0,29,29
Nocc.fs[33],53,53,0,53,53
Nocc.fs[34],55,55,0,55,55
Nocc.fs[35],26,26,0,26,26
Nocc.fs[36],27,27,0,27,27
Nocc.fs[37],29,29,0,29,29
Nocc.fs[38],19,19,0,19,19
Nocc.fs[39],16,16,0,16,16
Nocc.fs[40],15,15,0,15,15
Nocc.fs[41],22,22,0,22,22
Nocc.fs[42],17,17,0,17,17
Nocc.fs[43],15,15,0,15,15
Nocc.fs[44],18,18,0,18,18
Nocc.fs[45],9,9,0,9,9
Nocc.fs[46],11,11,0,11,11
Nocc.fs[47],46,46,0,46,46
Nocc.fs[48],28,28,0,28,28
Nocc.fs[49],18,18,0,18,18
Nocc.fs[50],15,15,0,15,15
Nocc.fs[51],17,17,0,17,17
Nocc.fs[52],24,24,0,24,24
Nocc.fs[53],53,53,0,53,53
Nocc.fs[54],14,14,0,14,14
Nocc.fs[55],28,28,0,28,28
Nocc.fs[56],19,19,0,19,19
Nocc.fs[57],12,12,0,12,12
Nocc.fs[58],10,10,0,10,10
Nocc.fs[59],32,32,0,32,32
Nocc.fs[60],27,27,0,27,27
Nocc.fs[61],22,22,0,22,22
Nocc.fs[62],31,31,0,31,31
Nocc.fs[63],9,9,0,9,9
Nocc.fs[64],15,15,0,15,15
Nocc.fs[65],20,20,0,20,20
Nocc.fs[66],29,29,0,29,29
Nocc.fs[67],24,24,0,24,24
Nocc.fs[68],20,20,0,20,20
Nsite[1],14,14,0,14,14
Nsite[2],33,33,0,33,33
Nsite[3],27,27,0,27,27
Nsite[4],36,36,0,36,36
Nsite[5],26,26,0,26,26
Nsite[6],40,40,0,40,40
Nsite[7],27,27,0,27,27
Nsite[8],40,40,0,40,40
Nsite[9],22,22,0,22,22
Nsite[10],35,35,0,35,35
Nsite[11],23,23,0,23,23
Nsite[12],41,41,0,41,41
Nsite[13],28,28,0,28,28
Nsite[14],43,43,0,43,43
Nsite[15],25,25,0,25,25
Nsite[16],32,32,0,32,32
Nsite[17],24,24,0,24,24
Nsite[18],33,33,0,33,33
Nsite[19],28,28,0,28,28
Nsite[20],26,26,0,26,26
Nsite[21],32,32,0,32,32
Nsite[22],22,22,0,22,22
Nsite[23],28,28,0,28,28
Nsite[24],40,40,0,40,40
Nsite[25],41,41,0,41,41
Nsite[26],24,24,0,24,24
Nsite[27],32,32,0,32,32
Nsite[28],28,28,0,28,28
Nsite[29],33,33,0,33,33
Nsite[30],26,26,0,26,26
Nsite[31],31,31,0,31,31
Nsite[32],32,32,0,32,32
Nsite[33],39,39,0,39,39
Nsite[34],24,24,0,24,24
Nsite[35],18,18,0,18,18
Nsite[36],21,21,0,21,21
Nsite[37],22,22,0,22,22
Nsite[38],30,30,0,30,30
Nsite[39],31,31,0,31,31
Nsite[40],20,20,0,20,20
Nsite[41],26,26,0,26,26
Nsite[42],26,26,0,26,26
Nsite[43],23,23,0,23,23
Nsite[44],21,21,0,21,21
Nsite[45],16,16,0,16,16
Nsite[46],31,31,0,31,31
Nsite[47],12,12,0,12,12
Nsite[48],26,26,0,26,26
Nsite[49],14,14,0,14,14
Nsite[50],17,17,0,17,17
